Date,eNodeB ID,eNodeB ID Encoded,RRC_Success_Rate,ERAB_Success_Rate,UL_TP,DL_TP
2019-08-01,111220,1,99.6817,99.6058,114945.2538,1386038.6909
2019-08-01,111428,2,99.8424,99.7883,55476.8659,771937.3405
2019-08-01,111432,3,99.9223,99.8587,395907.0112,8676909.3006
2019-08-01,111099,4,99.8577,99.8291,355106.1433,5277595.7152
2019-08-01,111267,5,99.8567,99.6705,270643.1476,2220377.7403
2019-08-01,111101,6,99.9664,99.7644,337431.208,4015497.173
2019-08-01,111009,7,99.5442,99.7941,102599.774,773952.5806
2019-08-01,111046,8,99.9609,99.7942,33225.5235,246461.0278
2019-08-01,111029,9,99.9691,99.9712,189820.4183,2128960.6722
2019-08-01,111029,9,99.8603,99.9855,78537.7285,808415.8675
2019-08-01,111167,10,99.9789,99.9254,85934.2746,2212774.962
2019-08-01,111223,11,99.8575,100.0,82889.567,595125.1842
2019-08-01,111223,11,99.9571,99.9893,99383.5394,1144533.4874
2019-08-01,111223,11,99.9533,99.9492,181859.6268,1933373.0215
2019-08-01,111214,12,99.1153,99.5302,148564.5268,1470332.7142
2019-08-01,111109,13,99.9164,99.9122,179210.2212,1574412.3886
2019-08-01,111420,14,99.9285,99.964,256634.3618,2105730.772
2019-08-01,111032,15,99.9734,99.9651,642451.3559,1810221.6344
2019-08-01,111276,16,99.8736,99.9303,123864.851,1657856.9835
2019-08-01,111152,17,99.8979,99.6371,82643.9841,744413.0252
2019-08-01,111140,18,99.9665,99.9603,126051.7932,850273.906
2019-08-01,111129,19,99.8758,100.0,153064.4978,625091.6318
2019-08-01,111027,20,99.8822,100.0,25644.7667,226264.5449
2019-08-01,111027,20,99.774,99.7302,123707.5554,983809.5398
2019-08-01,111054,21,99.8859,97.8756,338229.6182,4124452.2868
2019-08-01,111159,22,99.9697,99.6534,46036.849,307930.4091
2019-08-01,111198,23,99.8334,99.9371,124830.3928,288589.6955
2019-08-01,112264,24,100.0,100.0,60332.6417,767943.8009
2019-08-01,111156,25,99.8929,99.8161,1631359.6481,17939820.4252
2019-08-01,111419,26,99.9123,99.9918,314459.9826,6317569.9362
2019-08-01,111431,27,99.9294,100.0,58104.0616,338069.0429
2019-08-01,111431,27,97.8742,99.8733,135906.3765,931499.1043
2019-08-01,111052,28,99.9529,99.9383,530519.6143,4862462.4039
2019-08-01,111028,29,99.8663,99.8563,93267.3172,883440.6788
2019-08-01,111274,30,99.9369,100.0,212101.2738,3838305.5559
2019-08-01,111278,31,99.8886,99.7558,112578.3885,461592.1405
2019-08-01,111019,32,99.8939,99.8814,193473.2439,1313519.2818
2019-08-01,111406,33,99.9357,99.9063,2138296.3758,7143054.6878
2019-08-01,111399,34,99.9509,100.0,203715.5214,1849670.863
2019-08-01,111277,35,99.4334,99.1339,994027.0563,2799589.9964
2019-08-01,111272,36,99.9951,99.9702,283023.7955,4207119.8577
2019-08-01,111155,37,99.7602,99.8375,170194.2597,816871.1636
2019-08-01,111042,38,99.9341,99.9684,132009.7452,1254874.7774
2019-08-01,111015,39,99.7803,99.7984,67419.0356,861621.0942
2019-08-01,111279,40,99.9882,99.8713,154744.7652,1707579.5438
2019-08-01,111279,40,99.9104,99.8284,753770.4186,3329038.5062
2019-08-01,111090,41,99.9782,99.8607,292966.7901,5868578.3316
2019-08-01,111090,41,99.6771,99.6265,695948.408,7613145.3825
2019-08-01,111422,42,99.3004,99.082,121594.8444,797280.1077
2019-08-01,111269,43,99.9255,99.9732,152379.6954,381651.0852
2019-08-01,111111,44,99.9031,99.8605,20533.5599,208231.4913
2019-08-01,111098,45,99.6122,99.7773,468698.252,4140208.8868
2019-08-01,111145,46,99.989,99.985,297637.3361,4740596.4275
2019-08-01,111221,47,99.8859,99.8434,645714.3134,7755769.4378
2019-08-01,112140,48,99.8345,99.7861,118478.6296,1170192.6822
2019-08-01,112120,49,99.9506,99.862,62927.2096,713177.6185
2019-08-01,111772,50,99.9866,99.9484,69816.5916,675937.3436
2019-08-01,112112,51,98.8333,99.948,33073.3832,265704.6927
2019-08-01,111687,52,99.8598,100.0,36490.1403,322692.9649
2019-08-01,111656,53,99.9279,99.9671,97657.7099,1263469.7471
2019-08-01,112072,54,99.9252,99.926,357937.6,3228692.641
2019-08-01,112122,55,100.0,100.0,37677.1408,272895.3422
2019-08-01,111104,56,99.8728,100.0,66800.9442,1971899.0013
2019-08-01,111104,56,99.9652,99.9837,189555.232,3967308.8666
2019-08-01,111883,57,99.9019,99.9237,59318.4081,280722.5869
2019-08-01,111634,58,99.7892,99.4348,770580.0566,4427718.866
2019-08-01,111634,58,99.8205,99.6467,136410.5312,1088730.1502
2019-08-01,112106,59,99.7398,99.3947,630005.5877,4954275.6254
2019-08-01,112078,60,99.7603,99.9538,24655.1919,253482.4605
2019-08-01,112095,61,99.9479,99.9411,335886.1693,5601381.4843
2019-08-01,112084,62,99.8528,99.7732,775551.3641,8847821.7197
2019-08-01,112094,63,99.9358,99.931,141521.3286,1494507.4835
2019-08-01,112115,64,99.9484,100.0,278131.1452,1706433.9468
2019-08-01,112114,65,100.0,100.0,39726.0906,747362.9752
2019-08-01,112101,66,99.9309,99.8829,73377.6697,2686257.3103
2019-08-01,111033,67,99.4425,99.87,34633.5091,291036.5365
2019-08-01,111108,68,99.6725,99.7896,522217.3412,3406741.9306
2019-08-01,111076,69,99.897,99.967,25589.4814,211622.7989
2019-08-01,112239,70,99.9009,99.8783,106533.6135,502979.8469
2019-08-01,111043,71,99.8075,99.785,615714.3904,3848246.7261
2019-08-01,111277,35,99.4303,99.8591,874259.5347,1157013.9436
2019-08-01,111049,72,99.9526,99.911,205789.8218,434801.0115
2019-08-01,111100,73,99.5912,99.6804,1011339.0258,13466131.7973
2019-08-01,112106,59,99.9015,99.6564,2360727.5393,7680980.4043
2019-08-01,111184,74,99.8509,100.0,38445.038,255350.4934
2019-08-01,112140,48,99.5601,99.8089,66683.5225,856980.1252
2019-08-01,111178,75,99.7999,99.9787,218527.0986,1216105.1397
2019-08-01,111057,76,99.9592,99.8805,350756.6205,2481675.1038
2019-08-01,111085,77,99.8902,99.7505,605269.4285,5391089.3611
2019-08-01,111074,78,99.8859,99.9637,229342.3955,3334216.0276
2019-08-01,111125,79,99.8569,100.0,261599.2814,1025812.6913
2019-08-01,112086,80,99.587,99.2206,598891.2998,3667517.24
2019-08-01,111004,81,99.8676,99.8965,394672.3071,2368994.0961
2019-08-01,112071,82,99.9136,99.9508,99635.5592,707323.1496
2019-08-01,111034,83,99.8694,99.7848,141245.4768,1640089.1774
2019-08-01,111177,84,99.9141,99.2782,91118.1242,1239122.9976
2019-08-01,111656,53,99.9492,99.9679,304068.9086,1618893.8431
2019-08-01,111417,85,99.8568,99.866,850014.3868,9334760.4518
2019-08-01,111430,86,99.8369,100.0,44830.9702,544633.2149
2019-08-01,111080,87,99.2682,99.9418,31900.131,259107.9838
2019-08-01,111052,28,99.9863,99.7917,224141.1214,1108092.2284
2019-08-01,111278,31,99.9311,99.9838,99507.2772,671797.4932
2019-08-01,111166,88,99.9899,99.957,930010.5512,4374167.7412
2019-08-01,112102,89,99.8429,99.9551,86261.1195,861282.8788
2019-08-01,112112,51,99.766,99.7055,130929.4639,2805279.2757
2019-08-01,111130,90,99.8948,99.9243,56314.7618,1268302.4898
2019-08-01,111396,91,99.7732,99.9796,66349.2085,442364.4594
2019-08-01,112082,92,99.974,100.0,79535.9313,1321243.3681
2019-08-01,111419,26,100.0,100.0,24411.7567,345061.1756
2019-08-01,111177,84,99.969,99.9374,119255.2592,1624535.9633
